,Compound,Date,Negative,Neutral,Positive,Source,Text
247,0.2263,2018-03-26 23:05:01,0.888,0.0,0.112,CNN,"Netflix has its eye on another season of ""Queer Eye for the Straight Guy"" https://t.co/cziEB1gMeG https://t.co/UA5gAd6tyv"
71,-0.6486,2018-03-26 23:09:14,0.719,0.281,0.0,FoxNews,"Linda Brown, center of Brown v. Board case, dead at 76 https://t.co/F5U0Bv2IgH"
171,-0.6486,2018-03-26 23:09:14,0.719,0.281,0.0,FoxNews,"Linda Brown, center of Brown v. Board case, dead at 76 https://t.co/F5U0Bv2IgH"
246,0.0,2018-03-26 23:10:09,1.0,0.0,0.0,CNN,.@AriannaHuff tells @PoppyHarlowCNN we need to “disconnect in a connected world today” and why she wants to you to… https://t.co/Bwr5LYw2kh
245,0.0,2018-03-26 23:15:03,1.0,0.0,0.0,CNN,Garry Shandling and Arthur Miller profiled in deeply personal HBO docs https://t.co/1X8tKxUvjh https://t.co/KMrwH3hLUS
87,-0.5574,2018-03-26 23:17:04,0.833,0.167,0.0,nytimes,Linda Brown has died. The Kansas schoolgirl came to symbolize the transformative Brown v. Board of Education desegr… https://t.co/a0bJJfESbP
187,-0.5574,2018-03-26 23:17:04,0.833,0.167,0.0,nytimes,Linda Brown has died. The Kansas schoolgirl came to symbolize the transformative Brown v. Board of Education desegr… https://t.co/a0bJJfESbP
70,-0.3182,2018-03-26 23:17:19,0.699,0.179,0.122,FoxNews,Former Al Qaeda hostage in Syria alleges FBI sacrificed his safety to track terrorists. Catherine Herridge reports.… https://t.co/qtPbgkxurP
170,-0.3182,2018-03-26 23:17:19,0.699,0.179,0.122,FoxNews,Former Al Qaeda hostage in Syria alleges FBI sacrificed his safety to track terrorists. Catherine Herridge reports.… https://t.co/qtPbgkxurP
169,-0.5267,2018-03-26 23:24:30,0.794,0.206,0.0,FoxNews,".@Judgenap on former hostage accusing FBI of misleading his family: “The FBI, in this particular case, couldn’t car… https://t.co/pceGYbiwEc"
69,-0.5267,2018-03-26 23:24:30,0.794,0.206,0.0,FoxNews,".@Judgenap on former hostage accusing FBI of misleading his family: “The FBI, in this particular case, couldn’t car… https://t.co/pceGYbiwEc"
244,0.0,2018-03-26 23:30:14,1.0,0.0,0.0,CNN,Iceland is bringing geothermal heating to China https://t.co/Wf4gihkyDN https://t.co/f0hoj5EIA0
86,-0.8957,2018-03-26 23:32:04,0.565,0.435,0.0,nytimes,"RT @nytimesworld: She escaped a 1942 roundup of Jews in Paris, and died in a 2018 hate crime https://t.co/bwlI9EawZ1"
186,-0.8957,2018-03-26 23:32:04,0.565,0.435,0.0,nytimes,"RT @nytimesworld: She escaped a 1942 roundup of Jews in Paris, and died in a 2018 hate crime https://t.co/bwlI9EawZ1"
243,-0.5859,2018-03-26 23:38:28,0.798,0.202,0.0,CNN,The bankruptcy of Remington marks a blow to the gun industry and the decline of one of America's oldest gun compani… https://t.co/G2PWuxAspF
68,-0.4019,2018-03-26 23:41:55,0.881,0.119,0.0,FoxNews,.@dbongino: “The problem with this debate is you have people who live in these cultural bubbles who talk about gun… https://t.co/MKZeoA4tH5
168,-0.4019,2018-03-26 23:41:55,0.881,0.119,0.0,FoxNews,.@dbongino: “The problem with this debate is you have people who live in these cultural bubbles who talk about gun… https://t.co/MKZeoA4tH5
242,-0.8658,2018-03-26 23:45:04,0.553,0.447,0.0,CNN,How the cricket cheating scandal in Australia harms the national psyche https://t.co/6E7MA3eiti | via @CNNOpinion https://t.co/cYJlFKlMMY
185,0.5106,2018-03-26 23:47:06,0.645,0.0,0.355,nytimes,"Villanova has a beloved team chaplain, too https://t.co/cMje3sdrCj"
85,0.5106,2018-03-26 23:47:06,0.645,0.0,0.355,nytimes,"Villanova has a beloved team chaplain, too https://t.co/cMje3sdrCj"
67,0.2023,2018-03-26 23:47:52,0.904,0.0,0.096,FoxNews,.@KyleKashuv: “Gun control won’t solve this issue. We’ve seen that we have to hold our government accountable.”… https://t.co/aB0kWxW6nj
167,0.2023,2018-03-26 23:47:52,0.904,0.0,0.096,FoxNews,.@KyleKashuv: “Gun control won’t solve this issue. We’ve seen that we have to hold our government accountable.”… https://t.co/aB0kWxW6nj
241,-0.3818,2018-03-26 23:48:48,0.809,0.191,0.0,CNN,These are all the countries that are expelling Russian diplomats https://t.co/kDqWGm1Lnp https://t.co/JPKciaQwCQ
240,0.765,2018-03-26 23:55:17,0.742,0.0,0.258,CNN,Did the Trump campaign and John Bolton's super PAC get help from overseas? | By Fred Wertheimer and Norman Eisen fo… https://t.co/dTabQC4fK6
166,-0.6808,2018-03-26 23:58:48,0.763,0.237,0.0,FoxNews,.@JesseBWatters: “The guy had a rifle because the Bill of Rights said an 18-year-old with no criminal record can ha… https://t.co/fkSX5vjUNZ
66,-0.6808,2018-03-26 23:58:48,0.763,0.237,0.0,FoxNews,.@JesseBWatters: “The guy had a rifle because the Bill of Rights said an 18-year-old with no criminal record can ha… https://t.co/fkSX5vjUNZ
